QuestionNumber,Category,MRCPPart,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,WhyA,WhyB,WhyC,WhyD
302,Metabolic Medicine,1,Gaucher disease is the most common lysosomal storage disorder. What accumulates and in which cells?,Glucocerebroside in macrophages,Sphingomyelin in neurons,GM2 ganglioside in neurons,Galactocerebroside in oligodendrocytes,A,"Gaucher disease, the commonest lysosomal storage disorder, results from glucocerebrosidase deficiency, so GLUCOCEREBROSIDE accumulates within MACROPHAGES ('Gaucher cells' with a crinkled tissue-paper cytoplasm). Type 1 (non-neuronopathic) causes hepatosplenomegaly, bone disease (crises, avascular necrosis), anaemia and thrombocytopenia; enzyme-replacement therapy (imiglucerase) is effective.",,"Sphingomyelin accumulation is Niemann–Pick disease (sphingomyelinase deficiency), not Gaucher.",GM2-ganglioside accumulation in neurons is Tay–Sachs disease (hexosaminidase A deficiency).,Galactocerebroside accumulation is Krabbe disease (galactocerebrosidase deficiency).
303,Metabolic Medicine,2,"A newborn presents with poor feeding, vomiting, lethargy, and a sweet maple syrup odour to the urine. What is the diagnosis?",Phenylketonuria,Maple syrup urine disease,Galactosaemia,Homocystinuria,B,"A neonate with poor feeding, vomiting, lethargy and a characteristic SWEET/maple-syrup urine odour has maple syrup urine disease — deficiency of branched-chain α-ketoacid dehydrogenase, causing toxic accumulation of leucine, isoleucine and valine and their ketoacids. Untreated it causes encephalopathy and death; management is urgent branched-chain amino-acid restriction and metabolic support.","PKU is usually detected on screening rather than by a maple-syrup odour, and produces a musty smell if anything.",,"Galactosaemia presents with jaundice, hepatomegaly, E. coli sepsis and cataracts, not a maple-syrup odour.","Homocystinuria presents later with lens dislocation and thrombosis, not neonatal maple-syrup-smelling urine."
304,Metabolic Medicine,1,"A young man presents with lens subluxation (ectopia lentis), marfanoid habitus, intellectual disability, and thromboembolic events. Urine amino acid analysis shows elevated homocysteine. What is the diagnosis?",Marfan syndrome,Homocystinuria,Ehlers-Danlos syndrome,Alkaptonuria,B,"Homocystinuria (usually cystathionine-β-synthase deficiency) causes a marfanoid habitus with DOWNWARD lens subluxation, intellectual disability and a marked tendency to arterial/venous THROMBOSIS (the main cause of death), together with osteoporosis. Raised urinary/plasma homocysteine confirms it. It is distinguished from Marfan by intellectual disability, thrombosis and the direction of lens dislocation.","Marfan syndrome has UPWARD lens dislocation, NORMAL intellect and no hyperhomocysteinaemia; aortic-root dissection, not thrombosis, is the main risk.",,"Ehlers–Danlos causes hyperextensible skin/joints and vascular fragility, without elevated homocysteine or ectopia lentis as the hallmark.","Alkaptonuria causes ochronosis and dark urine, not marfanoid features with high homocysteine."
305,Metabolic Medicine,1,Fabry disease is an X-linked lysosomal storage disorder caused by deficiency of which enzyme?,Alpha-galactosidase A,Beta-glucosidase,Sphingomyelinase,Hexosaminidase A,A,"Fabry disease is an X-linked deficiency of α-galactosidase A, causing globotriaosylceramide (Gb3) to accumulate in vascular endothelium and other tissues. Features include painful acroparaesthesiae, angiokeratomas, corneal verticillata, progressive renal failure, cardiomyopathy and stroke; heterozygous females can be affected. Enzyme-replacement therapy is available.",,β-glucosidase (glucocerebrosidase) deficiency is Gaucher disease.,Sphingomyelinase deficiency is Niemann–Pick disease.,Hexosaminidase A deficiency is Tay–Sachs disease.
306,Metabolic Medicine,1,Alkaptonuria is characterised by which clinical finding?,Dark urine that turns black on standing (homogentisic aciduria),Maple syrup-smelling urine,Green-coloured urine,Frothy proteinuric urine,A,"Alkaptonuria (homogentisic-acid-oxidase deficiency, autosomal recessive) leads to accumulation of homogentisic acid, which oxidises to a dark pigment — so the URINE turns brown/black on standing. Chronic deposition (ochronosis) discolours cartilage, sclerae and ear cartilage and causes a degenerative arthropathy of the spine and large joints.",,"Maple-syrup-smelling urine indicates maple syrup urine disease, not alkaptonuria.","Green urine suggests propofol/methylene blue or certain infections, not alkaptonuria.","Frothy proteinuric urine indicates significant proteinuria (e.g. nephrotic syndrome), unrelated to homogentisic aciduria."
307,Metabolic Medicine,2,A patient on total parenteral nutrition develops Wernicke encephalopathy. What is the classic triad of clinical features?,"Headache, vomiting, papilloedema","Ophthalmoplegia, ataxia, confusion","Tremor, rigidity, bradykinesia","Ptosis, miosis, anhidrosis",B,"Wernicke's encephalopathy (thiamine/B1 deficiency, e.g. with alcohol or unsupplemented TPN) classically presents with the triad of OPHTHALMOPLEGIA (often a lateral-rectus/CN VI palsy, nystagmus), CEREBELLAR ATAXIA and CONFUSION, though the full triad appears in only ~10%. Treatment is urgent IV thiamine BEFORE any glucose load; untreated it progresses to irreversible Korsakoff amnesia.","Headache, vomiting and papilloedema indicate raised intracranial pressure, not Wernicke's.",,"Tremor, rigidity and bradykinesia describe parkinsonism.","Ptosis, miosis and anhidrosis are Horner's syndrome, not Wernicke's."
308,Metabolic Medicine,1,"Which vitamin deficiency causes scurvy (petechiae, bleeding gums, poor wound healing)?",Vitamin A,Vitamin B12,Vitamin C (ascorbic acid),Vitamin K,C,"Scurvy is caused by vitamin C (ascorbic acid) deficiency. Vitamin C is a cofactor for collagen hydroxylation, so deficiency gives defective collagen: perifollicular haemorrhages, corkscrew hairs, swollen bleeding gums, poor wound healing and anaemia. It occurs with very restricted diets, alcohol excess or in the isolated elderly; treatment is ascorbic-acid replacement with rapid improvement.","Vitamin A deficiency causes night blindness and xerophthalmia, not scurvy.","Vitamin B12 deficiency causes macrocytic anaemia and neuropathy, not the collagen defect of scurvy.",,"Vitamin K deficiency causes a coagulopathy (raised PT) but not corkscrew hairs, bleeding gums and poor healing from defective collagen."
309,Palliative Care,2,A terminally ill cancer patient has refractory pain despite step 3 WHO analgesic ladder therapy. Oral morphine 120mg/24h is insufficient. What is the next step?,Add paracetamol,Switch to an alternative strong opioid (opioid rotation),Add oral ibuprofen,Reduce morphine dose,B,"When pain remains refractory (or side effects intolerable) on a strong opioid at step 3, the recommended step is OPIOID ROTATION — switching to an alternative strong opioid (e.g. oxycodone, hydromorphone or fentanyl) using an equianalgesic conversion, usually reducing the calculated dose for incomplete cross-tolerance. Different opioids have differing receptor profiles, so a switch often improves the balance of analgesia and side effects.",Paracetamol is a step-1 non-opioid adjuvant and will not control pain unresponsive to 120 mg of morphine.,,Adding ibuprofen may help specific pain types but is not the primary step for opioid-refractory pain.,Reducing the morphine dose would worsen uncontrolled pain.
310,Palliative Care,1,The WHO analgesic ladder has how many steps?,2,3,4,5,B,"The WHO analgesic ladder has THREE steps: step 1 non-opioid (paracetamol/NSAID) ± adjuvant; step 2 weak opioid (codeine/tramadol) ± non-opioid ± adjuvant; step 3 strong opioid (morphine/oxycodone/fentanyl) ± non-opioid ± adjuvant. In modern cancer-pain practice step 2 is often bypassed, moving from step 1 to a low-dose strong opioid.",Two steps omits the weak-opioid (or strong-opioid) tier.,,"There is no official fourth step (interventional techniques are an adjunct, not a formal ladder step).",Five steps overstates the ladder.
311,Palliative Care,2,A dying patient develops noisy respiratory secretions ('death rattle'). The patient is unconscious and comfortable. What is the most appropriate pharmacological treatment?,IV furosemide,Subcutaneous glycopyrronium or hyoscine butylbromide,Nebulised salbutamol,Suction,B,"Noisy upper-airway secretions ('death rattle') in an unconscious, comfortable dying patient are managed with an ANTISECRETORY antimuscarinic — subcutaneous glycopyrronium (does not cross the blood–brain barrier, so fewer central effects) or hyoscine butylbromide. These reduce further secretion production; repositioning and family reassurance that the patient is not distressed are equally important.","IV furosemide treats fluid overload/pulmonary oedema, not upper-airway secretions in the dying.",,"Nebulised salbutamol treats bronchospasm, not secretions.",Deep suction is distressing and only transiently effective; antisecretory drugs are preferred first-line.
312,Palliative Care,1,"When converting oral morphine to subcutaneous morphine via a syringe driver, the dose ratio is:",Oral dose ÷ 2,Oral dose ÷ 3,Oral dose × 2,Same dose,A,"Converting ORAL to SUBCUTANEOUS morphine, the total daily dose is DIVIDED BY 2, because oral morphine's bioavailability is only ~30–40%, making the parenteral route roughly twice as potent (e.g. oral 60 mg/24 h ≈ SC 30 mg/24 h). (Oral-to-IV morphine is divided by ~3.) Getting the conversion right prevents both under-dosing and dangerous overdose.",,Dividing by 3 is the oral-to-IV (not oral-to-SC) morphine conversion.,Multiplying by 2 would double the dose — a dangerous error in the wrong direction.,Using the same dose ignores the higher potency of the parenteral route and risks overdose.
313,Palliative Care,1,"Neuropathic pain (burning, shooting, allodynia) in palliative care is best treated with which adjuvant alongside opioids?",Paracetamol,Pregabalin or gabapentin,Diclofenac,Hyoscine,B,"Neuropathic pain (burning, shooting, allodynia) responds poorly to opioids/simple analgesics alone, so an ADJUVANT is added — a gabapentinoid (pregabalin or gabapentin) or a tricyclic (amitriptyline) or duloxetine. NICE lists amitriptyline, duloxetine, gabapentin or pregabalin as first-line for neuropathic pain; ketamine or nerve blocks are reserved for refractory cases.",Paracetamol is a non-opioid for nociceptive pain and is ineffective for neuropathic pain alone.,,"Diclofenac (an NSAID) targets inflammatory nociceptive pain, not neuropathic pain.","Hyoscine is an antisecretory/antispasmodic, not a neuropathic-pain agent."
